Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
41,Smells Like Teen Spirit,Nirvana,1991,https://youtube.com/watch?v=hTWKbfoikeg,Nirvana - Smells Like Teen Spirit (Official Music Video),24463589897e88323496df7a01d934b95debb1b092383c8f3e96efdcad0ce5f2
42,Never Gonna Give You Up,Rick Astley,1987,https://youtube.com/watch?v=dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Music Video),ea6432992331a13184e0de40254b4992a133dcca7f4adf8831759fbc99d89bba
43,Knock On Wood,Amii Stewart,1979,https://youtube.com/watch?v=oLS57N4kUN0,"Knock on Wood (7"" Edit)",5ef2efbe7d8da6f7d304db48bcb3af65262f5fae132a57b7fe62ec86738d04f0
44,My Heart Will Go On,Céline Dion,1997,https://youtube.com/watch?v=p79GmLNLMrY,Celine Dion - My Heart Will Go On (Lyrics),15fe73f07327c739ee56759fdc908c61ad0347a5669ca5a3670469b59903226d
45,These Boots Are Made For Walkin',Nancy Sinatra,1965,https://youtube.com/watch?v=TDmidrIDB4o,These Boots Are Made for Walkin',0fd7b9241acb95fcd27af6cd26d1fde906e2159ddfc57affb4e9f687d045ec4f
46,Hey Ya!,Outkast,2003,https://youtube.com/watch?v=RqIRp4QE-1k,OutKast - Hey Ya! (Lyrics),9a0bbafcac075d99c4425ba3e7d77b8b8a04a62adb31d7c3b6ebafa05ec94000
47,In The Summertime,Mungo Jerry,1970,https://youtube.com/watch?v=wvUQcnfwUUM,Mungo Jerry - In The Summertime ORIGINAL 1970,55b5579c419fff8cfb58dab8b4e75c0110d6ea74a2a7cb0a662b3a3d2c13217c
48,Follow You Down,Gin Blossoms,1996,https://youtube.com/watch?v=5LuH0ywYVQc,Gin Blossoms - Follow You Down (Official Music Video),ff07efd06e2f8f12d05544c30482cbf19562e99f5c2f53c31c83eebdf1076475
49,Manic Monday,The Bangles,1986,https://youtube.com/watch?v=SsmVgoXDq2w,The Bangles - Manic Monday (Official Video),b66a4a1d6b78d7b0cf71295259c454daa5985fc8c9a8a3e7caef64160a074f02
50,Get Busy,Sean Paul,2003,https://youtube.com/watch?v=oPQ3o14ksaM,Sean Paul - Get Busy/Like Glue (Official Video),5f5e21373359a17a67a71057f4c4f59df4802a97a059bee8566a71021cea7b2d
51,Guajira Guantanamera,Joseíto Fernández,1929,https://youtube.com/watch?v=gdYIpvnzoW8,Guajira guantanamera,87defd174ba0b7b5c96e3e1582a2ee89737363dfbfbc5e094ec39c39793ad81d
52,Don't Call Me Up,Mabel,2019,https://youtube.com/watch?v=V35iQO30Xys,Mabel - Don't Call Me Up,97f9f21bba5181ccfddb59502a1a07666cb9c6a3bba98b5203e597798e461fc7
53,"Hey, Soul Sister",Train,2009,https://youtube.com/watch?v=kVpv8-5XWOI,"Train - Hey, Soul Sister (Official Video)",2e631b35f67c4675ccfc7b47189974ec12e0c3964cc47b6abadc5ffdab34024b
54,I Love Rock 'N Roll,The Arrows,1975,https://youtube.com/watch?v=cJzPLhDf3-8,The Arrows - I Love Rock 'n' Roll (1975),ba34a0588ff1dceeb0ffa167f3b51f3ad3ab290a75c189fd1c6e72ca01d6fece
55,I'm A Believer,The Monkees,1966,https://youtube.com/watch?v=4PQAqprjOuA,I'm a Believer,21d3dac8e7a7ac97bf491f7ff5ba02203dd8cdcfa9155e06c6053add1ec3896f
56,Somebody Like You,Keith Urban,2002,https://youtube.com/watch?v=eiBinM-f-Pk,Keith Urban - Somebody Like You (Official Music Video),7d36690d2758d8447850747e8caf800e0315f75401396a4af46f681ba23c1aa6
57,The Rhythm Of The Night,Corona,1993,https://youtube.com/watch?v=OnT58cIJSpw,Corona - The Rhythm of the Night (Official Music Video),ffc5ec1642032c35c857aece7be8f5d1e2c4679afe0f9affeaf75943986b988d
58,Royals,Lorde,2012,https://youtube.com/watch?v=nlcIKh6sBtc,Lorde - Royals (US Version),e4c9b66057e248f5b33a4872bd6e6fabfdc1cc893543037f5a12cd1abada3424
59,Ironic,Alanis Morissette,1995,https://youtube.com/watch?v=H4bIXVTsJck,Ironic,edbbf31f6637a555323e85ce5cf29c1e7df959471f38ac612020b712ef39ae93
60,Wrecking Ball,Miley Cyrus,2013,https://youtube.com/watch?v=mRFHAvdwXXs,Miley Cyrus - Wrecking Ball (Audio),cc934e38d3ffe97b15410dce07a64508e537811ece7ff22b4ea6d622e997b432
61,Mony Mony,Tommy James And The Shondells,1968,https://youtube.com/watch?v=X_OoEx9WOl8,Tommy James and The Shondells - Mony Mony,0e6f7a79a027f61458857e6a653dca9ea06bc6c68000ff1652474cf192d54bb9
62,I Can't Help Myself ,Four Tops,1965,https://youtube.com/watch?v=_Z2lWY-wkRs,I Can't Help Myself (Sugar Pie Honey Bunch),b3c4187b559da3168696d24248545387d5c280a0eade7a3fcc67552b904121cd
63,Turn the Beat Around,Vicki Sue Robinson,1976,https://youtube.com/watch?v=vz9pZW5OvM4,Vicki Sue Robinson - Turn the Beat Around (Audio),c5c6fee80df07d1a39fd9e8909e05793260b1d1c3a0f0305436efadc553559d7
64,You Sexy Thing,Hot Chocolate,1975,https://youtube.com/watch?v=iD4ympXPrWs,You Sexy Thing,81dc557e3d6e9643fff65bc5a67b4854f88611d8c54672f64c35f02575085692
65,All Of Me,John Legend,2013,https://youtube.com/watch?v=450p7goxZqg,John Legend - All of Me (Official Video),da23e6c481ce3cc0ed6aaf1defb3a67a2a98d8eff706493dea533fc6fe64e9e2
66,Poker Face,Lady Gaga,2008,https://youtube.com/watch?v=bESGLojNYSo,Lady Gaga - Poker Face (Official Music Video),7ab456a6e035796c5935d3b39de0948e5db928560a29f22e28d36c5375548ec5
67,Tubthumping (I Get Knocked Down),Chumbawamba,1997,https://youtube.com/watch?v=2H5uWRjFsGc,Chumbawamba - Tubthumping,dc03eefb78656f4f5ac36e8caa7e105d82dac554704026d008d920aafe0549ee
68,Everybody Knows,Leonard Cohen,1988,https://youtube.com/watch?v=Gxd23UVID7k,Leonard Cohen - Everybody Knows (Audio),634eff5701acca0e2e186e9d441c3ffbe0781159d19f3c6804feee0993055481
69,Return Of The Mack,Mark Morrisson,1996,https://youtube.com/watch?v=1ZfjB5P7RS0,Return of the Mack,c04bc92d6089df2815a66219eb1bd1dbd8297d76ea8ff90ccec606446555fb32
70,Rich Girl,Hall & Oates,1977,https://youtube.com/watch?v=AmHE65RAkSY,Daryl Hall & John Oates - Rich Girl (Official Audio),2c407fde0b535f86075ce6190cd43c2429f69b722ebd4710c137a06eab0610b8
71,Uprising,Muse,2009,https://youtube.com/watch?v=w8KQmps-Sog,Muse - Uprising [Official Video],f125ecb32ea107dffbf5144523a5ffaba144d5d434d478335b06d3f8a9a445b2
72,Haven't Met You Yet,Michael Bublé,2009,https://youtube.com/watch?v=rqthwCypho4,Michael Bublé - Haven't Met You Yet,e575f73d3ab2b125f5628d9326e2069d16adfbd03f940bde30c7f05c0d09c0ab
73,Hotel California,Eagles,1976,https://youtube.com/watch?v=BciS5krYL80,Hotel California (2013 Remaster),aef08fbc03eb9fd6757402c8b0aea669776b5a4838a09d91f9a1956b1e6d8e84
74,Johnny B. Goode,Chuck Berry,1958,https://youtube.com/watch?v=Uf4rxCB4lys,Johnny B. Goode,35e02617333a6f2b7905dd38452467a45aa0496e8b893c5f4f12b15f5cba11b1
75,Maneater,Dary Hall & John Oates,1982,https://youtube.com/watch?v=yRYFKcMa_Ek,Daryl Hall & John Oates - Maneater (Official Video),b6f9594aba3ce1a1261f6784e4f6505b41b35b55ede645da89a40611fed6fd93
76,La Donna È Mobile (Rigoletto),Enrico Caruso,1908,https://youtube.com/watch?v=RZNkoRb2iLQ,Enrico Caruso - La Donna e Mobile (Remastered),02724062dc5e32725d955acab8c7538c102c1a99bc1cec8a242d1af680d790c4
77,Happier,Marshmello and Bastille,2018,https://youtube.com/watch?v=m7Bc3pLyij0,Marshmello ft. Bastille - Happier (Official Music Video),cc001c1797584aa42729d5386181b3511004ea62914099452b0c6ae631bad2d7
78,Love Shack,The B-52's,1989,https://youtube.com/watch?v=9SOryJvTAGs,The B-52's - Love Shack (Official Music Video),691963f9970b395bdd224e49c1a294e8933ffa0d6b2b53cda2fa1f7dccc18ed2
79,Don't Leave Me This Way,Thelma Houston,1976,https://youtube.com/watch?v=rUdw7V-FC_Q,Don't Leave Me This Way,f168a443fe058bb2d39cff030657bb0cd5406dfc8da7e22848cde7c03cd81210
80,When I Need You,Leo Sayer,1977,https://youtube.com/watch?v=obC0MFHWJ0A,Leo Sayer - When I Need You (Official HD Music Video),3b63e9a9bb063cc4a61f12494b1cf37f703a70b53abff7423806002960fbd5d5
81,Sweet Caroline,Neil Diamond,1969,https://youtube.com/watch?v=4F_RCWVoL4s,Neil Diamond - Sweet Caroline (Audio),23a1e787e4963cad9614f3c7e4ea73051c124b4fc71a494553aa51ad1294b2ca
82,Feel,Robbie Williams,2002,https://youtube.com/watch?v=eK_tpyqtnsg,Feel,794b88f42bf45128f7a5881cde556a1594d12579b611827f2bb76222825b6802
83,In The Mood,Glenn Miller,1939,https://youtube.com/watch?v=dVh3ZzVDZik,Glenn Miller - In the Mood (Audio),73bfedf03a515d6352edfadd88d3f70567a3c4982c8759acebcdd557019095eb
84,Dancing in The Dark,Bruce Springsteen,1984,https://youtube.com/watch?v=8cNS_Mecbw8,Bruce Springsteen - Dancing In The Dark,ab771c24882ca71333bbd49ce79868209385d1f27ece2e1ccac5b80d2975d7ff
85,Without You,Avicii (feat. Sandro Cavazza),2017,https://youtube.com/watch?v=WRz2MxhAdJo,Avicii - Without You “Audio” ft. Sandro Cavazza,c89256563a05da06fb985311c7e16837e3d5c7524bb4479a0456fe22fc3a8501
86,Yeah!,Usher (feat. Lil Jon & Ludacris),2004,https://youtube.com/watch?v=GxBSyx85Kp8,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",58d0fb45c9c292e3d80891b7a87f3d62d7ae912c6a278e77ff4bda4b00b81877
87,Mr Vain,Culture Beat,1993,https://youtube.com/watch?v=V3qUoiwr5kQ,Mr. Vain,f01693d066cec43d39886a5f62cf6793b2722d5474e696149ce9acb20243ea3d
88,Uptown Funk,"Mark Ronson, Bruno Mars",2014,https://youtube.com/watch?v=OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,6a47ea1a541a780030cb792f7c88a9342255ce620b12d7d389560602ceede79b
89,Joyride,Roxette,1991,https://youtube.com/watch?v=xCorJG9mubk,Roxette - Joyride (Official Video),c6079429a3075801a21f542944b1ba3db95e930ae6b4242b1227f5d477a4fef6
90,Rock Around The Clock,Bill Haley & His Comets,1954,https://youtube.com/watch?v=Ud_JZcC0tHI,Rock Around the Clock-Bill Haley-original song-1955,3762e4ecd152c544fb450f9f6e95504292bffca7eb58413f9a1f38334ce21696
